
Non-selected data

  cod  gap   e0   1    2    3    4    5    6    7    8    9   10  sti

   1    1    0    1    1    1    1    1    1    0    0    0    0    6 
   2    1    0    1    1    1    1    0    0    0    0    0    0    4 
   3    0    0    1    1    1    1    1    1    1    1    1    1   10 
   4    0    0    1    1    1    1    1    1    1    1    1    1   10 
   5    0    0    1    1    1    1    1    1    1    1    1    1   10 
   6    0    0    1    1    1    1    1    1    1    1    1    1   10 
   7    1    0    1    1    1    1    1    1    1    1    0    0    8 
   8    0    0    1    1    1    1    1    1    1    1    1    1   10 
   9    1    0    1    1    1    1    0    0    0    0    0    0    4 
  10    0    0    1    1    1    1    1    1    1    1    1    1   10 
  11    0    0    1    1    1    1    1    1    1    1    1    1   10 
  12    1    0    1    1    1    1    1    1    1    1    0    0    8 
  13    0    0    1    1    1    1    1    1    1    1    1    1   10 
  14    0    0    1    1    1    1    1    1    1    1    1    1   10 
  15    0    0    1    1    1    1    1    1    1    1    1    1   10 
  16    1    0    1    1    1    1    1    1    1    1    1    0    9 
  17    0    0    1    1    1    1    1    1    1    1    1    1   10 
  18    1    0    1    1    1    1    1    1    1    1    1    0    9 
  19    1    0    1    1    1    1    1    1    1    1    1    0    9 
  20    0    0    1    1    1    1    1    1    1    1    1    1   10 
  21    0    0    1    1    1    1    1    1    1    1    1    1   10 
  22    0    0    1    1    1    1    1    1    1    1    1    1   10 
  23    0    0    1    1    1    1    1    1    1    1    1    1   10 
  24    0    0    1    1    1    1    1    1    1    1    1    1   10 
  25    1    0    1    1    1    0    0    0    0    0    0    0    3 
  26    1    0    1    1    1    1    1    1    1    1    1    0    9 
  27    0    0    1    1    1    1    1    1    1    1    1    1   10 
  28    0    0    1    1    1    1    1    1    1    1    1    1   10 
  29    1    0    1    1    1    1    1    0    0    0    0    0    5 
  30    0    0    1    1    1    1    1    1    1    1    1    1   10 
  31    1    0    1    1    1    0    0    0    0    0    0    0    3 
  32    1    0    1    1    1    1    1    1    0    0    0    0    6 
  33    0    0    1    1    1    1    1    1    1    1    1    1   10 
  34    1    0    0    0    0    0    0    0    1    1    1    1    4 
  35    1    0    0    0    0    0    0    0    1    1    1    1    4 
  36    1    0    0    0    0    0    0    0    1    1    1    1    4 
  37    1    0    0    0    0    0    0    0    0    1    1    1    3 
  38    1    0    1    1    1    0    0    0    0    0    0    0    3 
  39    1    0    0    0    0    1    1    1    1    1    1    1    7 
  40    1    0    0    0    0    0    0    0    0    1    1    1    3 
  41    0    0    1    1    1    1    1    1    1    1    1    1   10 
  42    0    0    1    1    1    1    1    1    1    1    1    1   10 
  43    1    0    1    1    1    1    1    1    0    0    0    0    6 
  44    0    0    1    1    1    1    1    1    1    1    1    1   10 
  45    0    0    1    1    1    1    1    1    1    1    1    1   10 
